# Excluded rare, archaic, obsolete, historical, or legacy guesses
# Source: C:\Users\T-Dawg\vswordle\UnknownMediocreTutorial\server\wordlists\allowed_words.txt
# All words marked as feasible secrets, or listed in allowed_secrets.txt, were protected.
# Reviewed terms were removed by explicit category.
# Other non-secret terms were removed when their source Frequency was below 1.
# Protected secret rows kept: 4164
# Modern zero-frequency exceptions kept: 23
# Total excluded rows: 4811
#
word	frequency	probability	plural	reason
argol	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arils	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ariot	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arked	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arled	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
armet	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
armil	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arnas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arnut	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aroba	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aroid	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arpas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arpen	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arrah	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arret	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arsey	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
artal	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aruhe	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arums	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arvee	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
arvos	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aryls	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
asdic	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ashet	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
askoi	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
askos	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aspie	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aspis	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
assot	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
astun	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
asway	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aswim	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
asyla	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ataps	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ataxy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atigi	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atilt	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atimy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atmas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atocs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atoke	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atoks	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atomy	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atony	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atrip	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
atuas	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
audad	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aulic	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
auloi	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aumil	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aunes	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aurae	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aurar	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aurei	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aures	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
avale	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
avels	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
avine	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
avize	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
avyze	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
awarn	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
awato	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
awdls	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aweel	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aweto	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
awing	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
awmry	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
awner	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
awols	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
awork	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
axile	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
axite	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
axled	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
axman	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
axmen	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
axoid	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ayahs	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ayaya	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ayelp	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
aygre	0	0	0	reviewed: obsolete or superseded spelling/form
ayins	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ayont	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
ayrie	0	0	0	source Frequency below 1 (extremely rare or unattested in repository data)
